2025-07-02 13:56:36,950 p=2687 u=vagrant n=ansible | PLAY [Ansible Ad-Hoc] ********************************************************************************************
2025-07-02 13:56:37,029 p=2687 u=vagrant n=ansible | TASK [ping] ******************************************************************************************************
2025-07-02 13:56:37,556 p=2687 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 13:56:38,830 p=2687 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 13:56:38,878 p=2687 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 13:56:39,052 p=2687 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 13:56:39,071 p=2687 u=vagrant n=ansible | PLAY RECAP *******************************************************************************************************
2025-07-02 13:56:39,072 p=2687 u=vagrant n=ansible | 192.168.60.10              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:56:39,072 p=2687 u=vagrant n=ansible | 192.168.60.11              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:56:39,073 p=2687 u=vagrant n=ansible | 192.168.60.12              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:56:39,074 p=2687 u=vagrant n=ansible | 192.168.60.13              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:56:49,496 p=2766 u=vagrant n=ansible | playbook: main.yml
2025-07-02 13:56:59,013 p=2776 u=vagrant n=ansible | PLAY [Precache setup and common configuration] *******************************************************************
2025-07-02 13:56:59,035 p=2776 u=vagrant n=ansible | TASK [Install common dependencies] *******************************************************************************
2025-07-02 13:57:00,934 p=2776 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 13:57:00,960 p=2776 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 13:57:00,966 p=2776 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 13:57:00,971 p=2776 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 13:57:00,978 p=2776 u=vagrant n=ansible | TASK [Upgrade pip safely] ****************************************************************************************
2025-07-02 13:57:01,397 p=2776 u=vagrant n=ansible | changed: [192.168.60.11]
2025-07-02 13:57:01,405 p=2776 u=vagrant n=ansible | changed: [192.168.60.10]
2025-07-02 13:57:01,413 p=2776 u=vagrant n=ansible | changed: [192.168.60.12]
2025-07-02 13:57:01,424 p=2776 u=vagrant n=ansible | changed: [192.168.60.13]
2025-07-02 13:57:01,431 p=2776 u=vagrant n=ansible | TASK [Create consul group and user] ******************************************************************************
2025-07-02 13:57:01,710 p=2776 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 13:57:01,715 p=2776 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 13:57:01,719 p=2776 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 13:57:01,736 p=2776 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 13:57:01,743 p=2776 u=vagrant n=ansible | TASK [Create consul user] ****************************************************************************************
2025-07-02 13:57:02,136 p=2776 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 13:57:02,137 p=2776 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 13:57:02,141 p=2776 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 13:57:02,148 p=2776 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 13:57:02,166 p=2776 u=vagrant n=ansible | PLAY [Setup Consul server] ***************************************************************************************
2025-07-02 13:57:02,183 p=2776 u=vagrant n=ansible | TASK [Copy Consul binary] ****************************************************************************************
2025-07-02 13:57:02,587 p=2776 u=vagrant n=ansible | changed: [192.168.60.10]
2025-07-02 13:57:02,595 p=2776 u=vagrant n=ansible | TASK [Install Consul] ********************************************************************************************
2025-07-02 13:57:03,174 p=2776 u=vagrant n=ansible | fatal: [192.168.60.10]: FAILED! => changed=false 
  msg: Source '/tmp/consul.zip' does not exist
2025-07-02 13:57:03,175 p=2776 u=vagrant n=ansible | PLAY RECAP *******************************************************************************************************
2025-07-02 13:57:03,176 p=2776 u=vagrant n=ansible | 192.168.60.10              : ok=5    changed=2    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2025-07-02 13:57:03,176 p=2776 u=vagrant n=ansible | 192.168.60.11              : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:57:03,177 p=2776 u=vagrant n=ansible | 192.168.60.12              : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:57:03,177 p=2776 u=vagrant n=ansible | 192.168.60.13              : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 13:57:34,089 p=2987 u=vagrant n=ansible | PLAY [Precache setup and common configuration] *******************************************************************
2025-07-02 13:57:34,113 p=2987 u=vagrant n=ansible | TASK [Install common dependencies] *******************************************************************************
2025-07-02 13:58:46,263 p=2987 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 13:59:10,013 p=2987 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 14:00:12,700 p=2987 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:04:21,165 p=2987 u=vagrant n=ansible |  [ERROR]: User interrupted execution

2025-07-02 14:10:09,148 p=2151 u=vagrant n=ansible | PLAY [Ansible Ad-Hoc] ********************************************************************************************
2025-07-02 14:10:09,231 p=2151 u=vagrant n=ansible | TASK [ping] ******************************************************************************************************
2025-07-02 14:10:09,718 p=2151 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 14:10:10,347 p=2151 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 14:10:10,364 p=2151 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 14:10:10,401 p=2151 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:10,417 p=2151 u=vagrant n=ansible | PLAY RECAP *******************************************************************************************************
2025-07-02 14:10:10,417 p=2151 u=vagrant n=ansible | 192.168.60.10              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 14:10:10,418 p=2151 u=vagrant n=ansible | 192.168.60.11              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 14:10:10,418 p=2151 u=vagrant n=ansible | 192.168.60.12              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 14:10:10,419 p=2151 u=vagrant n=ansible | 192.168.60.13              : ok=1    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2025-07-02 14:10:16,867 p=2225 u=vagrant n=ansible | playbook: main.yml
2025-07-02 14:10:24,203 p=2235 u=vagrant n=ansible | PLAY [Precache setup and common configuration] *******************************************************************
2025-07-02 14:10:24,226 p=2235 u=vagrant n=ansible | TASK [Install common dependencies] *******************************************************************************
2025-07-02 14:10:26,103 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:26,104 p=2235 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 14:10:26,115 p=2235 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 14:10:28,442 p=2235 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 14:10:28,450 p=2235 u=vagrant n=ansible | TASK [Upgrade pip safely] ****************************************************************************************
2025-07-02 14:10:29,949 p=2235 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 14:10:29,959 p=2235 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 14:10:29,973 p=2235 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 14:10:29,984 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:29,994 p=2235 u=vagrant n=ansible | TASK [Create consul group and user] ******************************************************************************
2025-07-02 14:10:30,322 p=2235 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 14:10:30,326 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:30,330 p=2235 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 14:10:30,343 p=2235 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 14:10:30,351 p=2235 u=vagrant n=ansible | TASK [Create consul user] ****************************************************************************************
2025-07-02 14:10:30,746 p=2235 u=vagrant n=ansible | ok: [192.168.60.11]
2025-07-02 14:10:30,748 p=2235 u=vagrant n=ansible | ok: [192.168.60.13]
2025-07-02 14:10:30,748 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:30,760 p=2235 u=vagrant n=ansible | ok: [192.168.60.12]
2025-07-02 14:10:30,777 p=2235 u=vagrant n=ansible | PLAY [Setup Consul server] ***************************************************************************************
2025-07-02 14:10:30,794 p=2235 u=vagrant n=ansible | TASK [Copy Consul binary] ****************************************************************************************
2025-07-02 14:10:32,831 p=2235 u=vagrant n=ansible | changed: [192.168.60.10]
2025-07-02 14:10:32,841 p=2235 u=vagrant n=ansible | TASK [Install Consul] ********************************************************************************************
2025-07-02 14:10:39,441 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:39,448 p=2235 u=vagrant n=ansible | TASK [Create config directory] ***********************************************************************************
2025-07-02 14:10:39,712 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:39,723 p=2235 u=vagrant n=ansible | TASK [Configure Consul server] ***********************************************************************************
2025-07-02 14:10:40,091 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
2025-07-02 14:10:40,099 p=2235 u=vagrant n=ansible | TASK [Create systemd service] ************************************************************************************
2025-07-02 14:10:40,833 p=2235 u=vagrant n=ansible | ok: [192.168.60.10]
